WHO.lineage	pangolin.lineage	synonym	cdc.classification
	A	A	
	A.2	A.2	
	A.2.5	A.2.5	
	A.2.5.2	A.2.5.2	
	A.23	A.23	
	A.23.1	A.23.1	
	A.30	A.VOI.V2	
	AT.1	B.1.1.370.1	
	AV.1	B.1.1.482.1	
Delta	AY.1	B.1.617.2.1	VBM
Delta	AY.10	B.1.617.2.10	VBM
Delta	AY.100	B.1.617.2.100	VBM
Delta	AY.103	B.1.617.2.103	VBM
Delta	AY.105	B.1.617.2.105	VBM
Delta	AY.107	B.1.617.2.107	VBM
Delta	AY.11	B.1.617.2.11	VBM
Delta	AY.110	B.1.617.2.110	VBM
Delta	AY.113	B.1.617.2.113	VBM
Delta	AY.114	B.1.617.2.114	VBM
Delta	AY.116	B.1.617.2.116	VBM
Delta	AY.116.1	B.1.617.2.116.1	VBM
Delta	AY.117	B.1.617.2.117	VBM
Delta	AY.118	B.1.617.2.118	VBM
Delta	AY.119	B.1.617.2.119	VBM
Delta	AY.119.1	B.1.617.2.119.1	VBM
Delta	AY.119.2	B.1.617.2.119.2	VBM
Delta	AY.120	B.1.617.2.120	VBM
Delta	AY.120.1	B.1.617.2.120.1	VBM
Delta	AY.121	B.1.617.2.121	VBM
Delta	AY.122	B.1.617.2.122	VBM
Delta	AY.122.1	B.1.617.2.122.1	VBM
Delta	AY.122.2	B.1.617.2.122.2	VBM
Delta	AY.122.3	B.1.617.2.122.3	VBM
Delta	AY.122.4	B.1.617.2.122.4	VBM
Delta	AY.122.5	B.1.617.2.122.5	VBM
Delta	AY.122.6	B.1.617.2.122.6	VBM
Delta	AY.124	B.1.617.2.124	VBM
Delta	AY.124.1	B.1.617.2.124.1	VBM
Delta	AY.124.1.1	B.1.617.2.124.1.1	VBM
Delta	AY.125	B.1.617.2.125	VBM
Delta	AY.126	B.1.617.2.126	VBM
Delta	AY.127	B.1.617.2.127	VBM
Delta	AY.127.1	B.1.617.2.127.1	VBM
Delta	AY.129	B.1.617.2.129	VBM
Delta	AY.13	B.1.617.2.13	VBM
Delta	AY.133	B.1.617.2.133	VBM
Delta	AY.15	B.1.617.2.15	VBM
Delta	AY.16	B.1.617.2.16	VBM
Delta	AY.17	B.1.617.2.17	VBM
Delta	AY.2	B.1.617.2.2	VBM
Delta	AY.20	B.1.617.2.20	VBM
Delta	AY.22	B.1.617.2.22	VBM
Delta	AY.23	B.1.617.2.23	VBM
Delta	AY.23.2	B.1.617.2.23.2	VBM
Delta	AY.25	B.1.617.2.25	VBM
Delta	AY.25.1	B.1.617.2.25.1	VBM
Delta	AY.25.1.1	B.1.617.2.25.1.1	VBM
Delta	AY.25.3	B.1.617.2.25.3	VBM
Delta	AY.26	B.1.617.2.26	VBM
Delta	AY.27	B.1.617.2.27	VBM
Delta	AY.3	B.1.617.2.3	VBM
Delta	AY.3.1	B.1.617.2.3.1	VBM
Delta	AY.3.2	B.1.617.2.3.2	VBM
Delta	AY.3.3	B.1.617.2.3.3	VBM
Delta	AY.3.4	B.1.617.2.3.4	VBM
Delta	AY.33	B.1.617.2.33	VBM
Delta	AY.33.2	B.1.617.2.33.2	VBM
Delta	AY.34	B.1.617.2.34	VBM
Delta	AY.34.1	B.1.617.2.34.1	VBM
Delta	AY.34.2	B.1.617.2.34.2	VBM
Delta	AY.35	B.1.617.2.35	VBM
Delta	AY.36	B.1.617.2.36	VBM
Delta	AY.37	B.1.617.2.37	VBM
Delta	AY.39	B.1.617.2.39	VBM
Delta	AY.39.1	B.1.617.2.39.1	VBM
Delta	AY.39.1.1	B.1.617.2.39.1.1	VBM
Delta	AY.39.1.2	B.1.617.2.39.1.2	VBM
Delta	AY.39.2	B.1.617.2.39.2	VBM
Delta	AY.4	B.1.617.2.4	VBM
Delta	AY.4.1	B.1.617.2.4.1	VBM
Delta	AY.4.10	B.1.617.2.4.10	VBM
Delta	AY.4.11	B.1.617.2.4.11	VBM
Delta	AY.4.13	B.1.617.2.4.13	VBM
Delta	AY.4.15	B.1.617.2.4.15	VBM
Delta	AY.4.2	B.1.617.2.4.2	VBM
Delta	AY.4.2.1	B.1.617.2.4.2.1	VBM
Delta	AY.4.2.2	B.1.617.2.4.2.2	VBM
Delta	AY.4.2.3	B.1.617.2.4.2.3	VBM
Delta	AY.4.2.5	B.1.617.2.4.2.5	VBM
Delta	AY.4.3	B.1.617.2.4.3	VBM
Delta	AY.4.4	B.1.617.2.4.4	VBM
Delta	AY.4.5	B.1.617.2.4.5	VBM
Delta	AY.4.6	B.1.617.2.4.6	VBM
Delta	AY.4.7	B.1.617.2.4.7	VBM
Delta	AY.4.8	B.1.617.2.4.8	VBM
Delta	AY.4.9	B.1.617.2.4.9	VBM
Delta	AY.40	B.1.617.2.40	VBM
Delta	AY.41	B.1.617.2.41	VBM
Delta	AY.42	B.1.617.2.42	VBM
Delta	AY.42.1	B.1.617.2.42.1	VBM
Delta	AY.43	B.1.617.2.43	VBM
Delta	AY.43.1	B.1.617.2.43.1	VBM
Delta	AY.43.2	B.1.617.2.43.2	VBM
Delta	AY.43.3	B.1.617.2.43.3	VBM
Delta	AY.43.4	B.1.617.2.43.4	VBM
Delta	AY.43.5	B.1.617.2.43.5	VBM
Delta	AY.43.6	B.1.617.2.43.6	VBM
Delta	AY.43.8	B.1.617.2.43.8	VBM
Delta	AY.43.9	B.1.617.2.43.9	VBM
Delta	AY.44	B.1.617.2.44	VBM
Delta	AY.46	B.1.617.2.46	VBM
Delta	AY.46.1	B.1.617.2.46.1	VBM
Delta	AY.46.4	B.1.617.2.46.4	VBM
Delta	AY.46.5	B.1.617.2.46.5	VBM
Delta	AY.47	B.1.617.2.47	VBM
Delta	AY.48	B.1.617.2.48	VBM
Delta	AY.49	B.1.617.2.49	VBM
Delta	AY.5	B.1.617.2.5	VBM
Delta	AY.5.1	B.1.617.2.5.1	VBM
Delta	AY.5.2	B.1.617.2.5.2	VBM
Delta	AY.5.3	B.1.617.2.5.3	VBM
Delta	AY.5.4	B.1.617.2.5.4	VBM
Delta	AY.5.5	B.1.617.2.5.5	VBM
Delta	AY.51	B.1.617.2.51	VBM
Delta	AY.52	B.1.617.2.52	VBM
Delta	AY.53	B.1.617.2.53	VBM
Delta	AY.54	B.1.617.2.54	VBM
Delta	AY.56	B.1.617.2.56	VBM
Delta	AY.6	B.1.617.2.6	VBM
Delta	AY.60	B.1.617.2.60	VBM
Delta	AY.62	B.1.617.2.62	VBM
Delta	AY.64	B.1.617.2.64	VBM
Delta	AY.65	B.1.617.2.65	VBM
Delta	AY.67	B.1.617.2.67	VBM
Delta	AY.68	B.1.617.2.68	VBM
Delta	AY.7	B.1.617.2.7	VBM
Delta	AY.7.1	B.1.617.2.7.1	VBM
Delta	AY.7.2	B.1.617.2.7.2	VBM
Delta	AY.70	B.1.617.2.70	VBM
Delta	AY.71	B.1.617.2.71	VBM
Delta	AY.72	B.1.617.2.72	VBM
Delta	AY.74	B.1.617.2.74	VBM
Delta	AY.75	B.1.617.2.75	VBM
Delta	AY.77	B.1.617.2.77	VBM
Delta	AY.8	B.1.617.2.8	VBM
Delta	AY.81	B.1.617.2.81	VBM
Delta	AY.87	B.1.617.2.87	VBM
Delta	AY.9	B.1.617.2.9	VBM
Delta	AY.9.1	B.1.617.2.9.1	VBM
Delta	AY.90	B.1.617.2.90	VBM
Delta	AY.91	B.1.617.2.91	VBM
Delta	AY.94	B.1.617.2.94	VBM
Delta	AY.98	B.1.617.2.98	VBM
Delta	AY.98.1	B.1.617.2.98.1	VBM
Delta	AY.98.1.1	B.1.617.2.98.1.1	VBM
	B.1	B.1	
	B.1.1	B.1.1	
	B.1.1.1	B.1.1.1	
	B.1.1.28	B.1.1.28	
	B.1.1.298	B.1.1.298;FVI-spike	
	B.1.1.316	B.1.1.316	
	B.1.1.318	VUI-202102/04	
	B.1.1.33	B.1.1.33	
	B.1.1.330	B.1.1.330	
	B.1.1.337	B.1.1.337	
	B.1.1.370	B.1.1.370	
	B.1.1.482	B.1.1.482	
	B.1.1.519	20B/S:732A	
	B.1.1.522	B.1.1.522	
	B.1.1.523	B.1.1.523	
Omicron	B.1.1.529	21M	VOC
Alpha 	B.1.1.7	20I	VBM
	B.1.177	20A.EU1	
	B.1.177.64	B.1.177.64	
	B.1.2	20G	
	B.1.214	B.1.214	
	B.1.214.2	B.1.214.2	
	B.1.243	B.1.243	
	B.1.243.1	B.1.243.1	
	B.1.258	B.1.258	
	B.1.258.17	B.1.258.17	
Beta	B.1.351	20H	
Beta	B.1.351.2	B.1.351.2	
Beta	B.1.351.3	B.1.351.3	
	B.1.36	20A/N.194L	
	B.1.36.1	B.1.36.1	
	B.1.36.26	B.1.36.26	
Epsilon	B.1.427	20C/S:452R	VBM
Epsilon	B.1.429	20C/S.452R	VBM
	B.1.429.1	B.1.429.1	
	B.1.466	B.1.466	
